Datetime,Text,Keyword,Text_Processed,Language,Text_Translated
2015-12-28 18:00:42+00:00,Mencari perbandingan RUU KUHP &amp; KUHP!,RUU KUHP,cari banding rancangan undang undang kuhp amp kuhp,id,search for appeals of the draft law on the Criminal Code & Criminal Code
2015-12-23 02:03:39+00:00,Stadium General: Perkembangan dan Masa Depan Penyusunan RUU KUHP.â¦ (at Ruang Sidang Utama Fakultas Hukum UII) â https://t.co/xEzVBY45s9,RUU KUHP,stadium general kembang susun rancangan undang undang kuhp at ruang sidang utama fakultas hukum uii,id,General Kembang Stadium drafts the Criminal Code Law in the main courtroom of the UII Faculty of Law
2015-12-20 05:04:17+00:00,"Rechtelijk Pardon di #RUUKUHP tidak tepat diterjemahkan 'permaafan pengadilan' akan tepat jika diterjemahkan, 'pengampunan oleh pengadilan'.",RUU KUHP,rechtelijk pardon terjemah maaf adil terjemah ampun adil,id,"rechtelijk pardon translation of sorry, fair, translation of pardon, fair"
2015-12-19 10:05:37+00:00,Kapan RUU KUHP kita di sahkan????,RUU KUHP,rancangan undang undang kuhp sahkan,id,the draft criminal code law is ratified
2015-12-19 09:48:27+00:00,"@SoundOfYogi udah ga ada mit, dicabut mk, tapi di ruu kuhp muncul lagi sih",RUU KUHP,sudah tidak mit pergi mk rancangan undang undang kuhp muncul sih,id,I can't go anymore now that the draft Criminal Code law has appeared
2015-12-19 09:37:10+00:00,@SoundOfYogi emang... makanya pembahasan RUU KUHP ga kelar sampe sekarang ya itu salah satu alasannya..,RUU KUHP,memang bahas rancangan undang undang kuhp tidak selesai sampai ya salah alas,id,"Indeed, the discussion on the draft Criminal Code law was not completed until it was wrong"
2015-12-19 09:35:10+00:00,@SoundOfYogi cuma dimunculin lagi di RUU KUHP taun 2015..,RUU KUHP,dimunculin rancangan undang undang kuhp tahun 2015,id,The 2015 Criminal Code draft was introduced
2015-12-18 07:34:17+00:00,MPM PP Muhammadiyah anggap pembahasan RUU KUHP dan RUU KUHAP oleh Pemerintah dan DPR ancam keberadaan KPK. https://t.co/tTV8q23QgY,RUU KUHP,mpm pp muhammadiyah anggap bahas rancangan undang undang kuhp rancangan undang undang hap perintah dewan perwakilan rakyat ancam komisi pemberantasan korupsi,id,MPM PP Muhammadiyah considers discussing draft Criminal Code Law Draft Law HAP Orders from House of Representatives Threatens Corruption Eradication Commission
2015-12-18 05:51:10+00:00,RUU KUHP apa kabar pak? Mayan nih udah hampir 100 tahun https://t.co/D4f1V7V4ec,RUU KUHP,rancangan undang undang kuhp kabar lumayan nih sudah 100,id,It's good news that the draft law on the Criminal Code has reached 100
2015-12-15 15:45:15+00:00,"Ngeri ya RUU KUHP yg baru. Khususnya masalah asusila. Kumpul kebo, mesum bisa di pidana oleh pihak ketiga(masy) yg merasa dirugikan.",RUU KUHP,ngeri ya rancangan undang undang kuhp yang khusus asusila kumpul kebo mesum pidana masyarakat yang rugi,id,"It's horrifying that the draft Criminal Code law specifically specifies immoral cohabitation, a crime that causes harm to society"
